id,kategori,soru,reference_cevap,model_cevabi
0,uroloji,Hocam ilişkiden 5 yıl sonra test yaptım negatif 3 yıldırda bi kız arkadaşım var onunla defalarca korunmasız sürtünmeli ilişki yaşadım bu ilişkilerden sonrada test yaptım son iliskiden 5 6 ay sonrada test yaptım negatif kendisi kızılaya kan verdi 4 gün oldu ama hala kanın ihtiyacı sahibi olanlara iletildiği yazmadı acaba bi problemmi var çok korkuyorum araştırmaktan kafayı yiyecem bisey olsa çıkmazıydi lütfen yardm edin,Kızılay ile görüşün,Bir sorun olmaz.
1,uroloji,sayın hocam ben doguştan beri damla damla idrar kaçırıyorum. yapılan narkozlu sistoskopide sag böbregimde çift üreter oldugu ve birinin olması gereken yerinde digerinin ise mesane çıkışına çok yakın bir yerde oldugu büyük olasıkla bu yüzden damla damla kaçırdıgım sonucuna varıldı ameliyatın başarısının ne derecede başarılı olacagı bilinemedigi için oparasyon yapılmamasına karar verildi böyle bir operasyonun başarısı ne derecede başarılı olabilir düşüncelerini alabilirmiyim teşekkürler,"sorununuz sanırım ""ektopik üreter"". Filmlerinizi görmeden birşey söylemek zor. Bu tür cerrahiler oldukça özellikli rekonstrüktif cerrahilerdir. Bununla birlikte iyi ve tecrübeli ellerde başarı oranı yüksektir. İyi bir üniversite hastanesi üroloji kliniğine başvurmanızı öneririm. geçmiş olsun...",Bu soruya cevap vermek için sizi muayene etmem gerekir.
2,uroloji,"Hocam Merhaba, Aşağıdaki Üriner Sistem USG tetkikine göre incelme durumunda çok ciddi durum varmıdır,Ameliyatmı gerklidir,yoksa ilaç tedavisi mi? Aydınlatırsanız çok sevinirim.çok teşekkürler hocam. Sol böbrek boyutu 102x37 mm.,parankim kalınlığı 8 mm.'dir. Sağ böbrek boyutu 110x36 mm.,parankim kalınlığı 8 mm.'dir.Her iki böbrek normal boyut ve konfigürasyondadır.Bilateral böbrek parankim kalınlıklarında incelme olup ekojeniteleri tabii olarak izlenmiştir.Pelvikalikseal dilatasyon saptanmadı. Mesane şekli,boyutları ve duvar kalınlığı normaldir.Lümen içi patolojik oluşum saptanmamıştır Batın içi serbest sıvı saptanmadı. Sonuç :Bilateral böbrek parankim kalınlığında incelme",Bence ultrasonu tekrar yaptırmanızda ya da bilgisayarlı tomografi gibi ileri bir tetkikle tekrar değerlendirilmenizde fayda var. Böbrekte genişleme olmadan parankim kalınlığında incelme genellikle beklenmez.,"Merhaba, Öncelikle geçmiş olsun. Bu raporda öncelikle klinik bulgular ile uyumlu görülmüş. Ameliyattan başka bir tedavi yöntemi yoktur. İlac tedavisinde de fayda göremeyen hastalar için ameliyat önerilir. Geçmiş olsun."
3,fiziksel-tip-ve-rehabilitasyon,"Değerli Uzman, Yukarda belirtilen ilaç diz eklemlerinde sıvı kaybı olan, kıkırdakları aşınmış (Çeşitli defalar fizik tedavi gördü) ve bunun için ağrı kesici ilaçlar kullanan validemiz için bir fayda sağlar mı?Yaşı 72 kalp, tansiyon ve böbrek taşı rahatsızlıkları var.Vereceğiniz yanıt için şimdiden teşekkürler!!","Bu konu ihtilaflı. Her iki yönde de araştırmalar var. Ameliyat boyutuna gelmiş ise pek fayda sağlamaz. Daha erken dönemde, fayda göstermesi umulur.",Bence mutlaka kullanmamalıdır.
4,uroloji,Ileride prostat ile ilgili sorun yasamamak icin ne yapmali ne yapmamaliyiz. Protat buyumem var diye tahmin ediyorum artmamasi icin tavsiyeleriniz nelerdir?,Prostat büyümesi 40 yaşından sonra başlar. Önlemek için hiçbir şey yapamazsınız,"Prostat büyümesi normal yaşta görülür. Ancak 60 yaşından sonra artış daha hızlanır. Bu duruma ""prostatit"" denir. Prostat büyümesindeki etkileri tedavi edilmezse, hastalığa yol açabilir."
5,uroloji,makattan buyuk abdes sonrası hafif yanma sonucunda kan geliyor az miktarda,"Bekir Bey Merhaba. Öncelikle geçmiş olsun. Makattan kan gelmesi idrar yollarından ziyade bağırsak sistemini ilgilendiren bir sorun. Basur, makatta çatlak gibi iyi huylu hastalıklardan kaynaklananileceği gibi kalın bağırsak kanseri gibi kötü huylu hastalıklar nedeniyle de ortaya çıkabilir. Benim tavsiyem vakit kaybetmeden bir Genel Cerrahi Uzmanı'na muayene olmanız. İyi çalışmalar.",Bu şikayetlerin çok çeşitli nedenleri olabilir. Bir muayene için randevu alınız.
6,genel-cerrahi,Hocam sağ kasığımda neden açılmalar oluyor ameliyat olmuştum sağ kasıktan fıtık ameliyAtı bir turlu bi anlam veremiyorum surekli soru işareti içersindeyim ??????,Sağ kasık fıtığın en sık görüldüğü yerdir. Karın içi basıncını artıran hareketler henüz iyileşmemiş fıtığın tekrarlamasına sebep olabilir. İyileşme süresi sonunda artık bir problem kalmaması gerek.,Bir kuru iğne ile tedavi edilmesi gerekir.
7,beyin-ve-sinir-cerrahisi,Annemin 4 yıl önce belinde 3 fıtık vardı alındı ve bel kayması vardı düzeltildi ve altı vidalı platin takıldı. Ama son 15 gündür sağ ayağında ağrı ve his kaybı başladı tekrar eski doktorumuza gittik çekilen emar sonucu platinin en üst bölümünde yeni bir fıtık oluştuğnu ve patladığnı ameliyat olmanın çok riskli olacağını ayağındaki his kaybının düzelmeyeceğini söyledi bu konuda bize yardımcı olursanınz çok sevinirim. annem şu an 49 yaşında.,"Tedavisine karar vermek için annenizi görmemde yarar var. Hafta içi 10-18 saatleri arasında Beşiktaş Fulya’daki muayenehanemde (Hakkı Yeten cad 13 Fulya Terrace Kat 3/M4 Fulya - Şişli) hasta bakıyorum. Eğer gelemiyorsanız MR’ınızı bana kargoyla yollayın ya da biriyle gönderin, sonra ayrıntıları görüşelim. Dr Aybars AKKOR *** *** **/ *** *** ** / *** *** ** www.aybarsakkor.com","Merhaba, öncelikle geçmiş olsun. Bu durumda ameliyata karar vermek için muayene edilmesi gerekmektedir. Saygılarımla"
8,uroloji,"İyi günler hocam; henüz 18 yaşındayım penisimin üst kısmında kırışmalar mevcut, ekstradan sertleşme sorunum var bunu kendi çabalarımla nasıl düzeltebilirim ? Birde ilişkilerimde ve mastürbasyonlarımda sperm çıkışını sert bir şekilde kapatıyorum, bunun zararı nedir ?",Mastürbasyonu azaltın ve meni çıkışını engellemeyin,Bir üroloji uzmanına muayene olmanızı öneririm.
9,beyin-ve-sinir-cerrahisi,hocam yeni boyun mr ım çekildi sonucu söylermisiniz. servikal vertebralarda belirgin dejeneratif değişiklikler mevcuttur. servikal aks ters dönmüştür. C2-3 annulus bulging+spinal kanalda anteriordan daralmatekal saka minimal bası C4-5 sağ paramedianda ekstrüde olmuş geniş tabanlı posterior HNPspinal kanalda anteriordan ve sağ paramediandan daralma+spinal korda bası+sağda nöral foramende daralma C5-6 geniş tabanlı posterior hnp+spinal kanalda anteriordan daralma+spinal korda belirgin bası tş,"Neşe hanım raporlarda C4-5 ve C5-6 seviyelerinde büyükçe bir fıtıktan bahsediliyor, MR larınızı görmek gerek, herhangi bir şikayetiniz varmı?? Filmlerinizlen birlikte bu taraflara yolunuz düşerse gelin ekibimizlen sizi değerlendirelim. saygılar...","Merhaba, MR raporunda önemli olan şey; ""Spinal kanal daralması"" ve ""Nöral foramenler daralmıştır."" Bu durumda ameliyat olmanız gerekiyor. Ameliyat sonrası ağrılar geçer, daha iyi bir yaşamınız için de gerekir."
